k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0015,0.5949074074074074,1,0,1.0,0.023255813953488372
2,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0006,0.5845315904139433,2,0,1.0,0.046511627906976744
3,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0012,0.526984126984127,3,0,1.0,0.06976744186046512
4,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0011,0.4821909571909572,4,0,1.0,0.09302325581395349
5,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0005,0.4678451178451179,5,0,1.0,0.11627906976744186
6,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0014,0.4444444444444444,6,0,1.0,0.13953488372093023
7,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0011,0.4444444444444444,7,0,1.0,0.16279069767441862
8,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0017,0.4209150326797386,8,0,1.0,0.18604651162790697
9,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0004,0.4083996463306808,9,0,1.0,0.20930232558139536
10,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0016,0.4037037037037037,10,0,1.0,0.23255813953488372
11,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0010,0.39814814814814814,11,0,1.0,0.2558139534883721
12,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0022,0.39285714285714285,12,0,1.0,0.27906976744186046
13,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0003,0.38410829307568434,13,0,1.0,0.3023255813953488
14,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0002,0.3796296296296296,14,0,1.0,0.32558139534883723
15,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0018,0.3700617283950617,15,0,1.0,0.3488372093023256
16,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0007,0.34814814814814815,16,0,1.0,0.37209302325581395
17,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0023,0.34656084656084657,17,0,1.0,0.3953488372093023
18,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0013,0.34398148148148144,18,0,1.0,0.4186046511627907
19,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0004,0.32022792022792024,19,0,1.0,0.4418604651162791
20,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0003,0.317002442002442,20,0,1.0,0.46511627906976744
21,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0002,0.3161220043572985,21,0,1.0,0.4883720930232558
22,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-509-uses-and-disclosures-for-which-an-attestation-is-req/sent_0004,0.30116959064327486,22,0,1.0,0.5116279069767442
23,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0013,0.2826086956521739,23,0,1.0,0.5348837209302325
24,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0006,0.28086419753086417,24,0,1.0,0.5581395348837209
25,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0005,0.27324527324527326,25,0,1.0,0.5813953488372093
26,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0020,0.272897897897898,26,0,1.0,0.6046511627906976
27,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-508-uses-and-disclosures-for-which-an-authorization-is-r/sent_0009,0.2554112554112554,27,0,1.0,0.627906976744186
28,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-504-uses-and-disclosures-organizational-requirements/sent_0008,0.24814814814814815,28,0,1.0,0.6511627906976745
29,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0019,0.2085877085877086,29,0,1.0,0.6744186046511628
30,HIPAA_removed/subpart-e-privacy-of-individually-identifiable-health-inform/164-502-uses-and-disclosures-of-protected-health-information/sent_0005,0.2059483726150393,30,0,1.0,0.6976744186046512
