span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-1-risks-to-be-addressed-when-providing-a-health-care-servi/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0001,True,spans-passthrough-candidates/sent_0001-507c97c2,0.445224171539961,True,0.2,1.0,0.0,0.0,0.0,1.0,0.474,1.0,0.333,False,True,False,False,False,True,False,True,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0005,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0006,True,spans-passthrough-candidates/sent_0006-8d8f64a6,0.494047619047619,True,0.375,1.0,0.0,0.0,0.143,1.0,0.179,1.0,0.75,False,True,False,False,False,True,False,True,True
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0007,True,spans-passthrough-candidates/sent_0007-2b0acd08,0.28373590982286634,True,0.0,0.0,0.0,1.0,0.0,1.0,0.087,0.067,0.4,False,False,False,True,False,True,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0009,True,spans-passthrough-candidates/sent_0009-608d9b45,0.6909090909090909,True,1.0,1.0,0.0,0.0,1.0,1.0,0.818,1.0,0.4,True,True,False,False,True,True,True,True,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0012,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0013,True,spans-passthrough-candidates/sent_0013-49481ab7,0.1783068783068783,True,0.0,1.0,0.0,0.0,0.0,0.0,0.071,0.2,0.333,False,True,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0015,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0018,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0021,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0022,True,spans-passthrough-candidates/sent_0022-ec5c8990,0.3712121212121212,True,0.4,0.0,0.0,0.0,0.091,1.0,0.6,1.0,0.25,False,False,False,False,False,True,True,True,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0024,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0025,True,spans-passthrough-candidates/sent_0025-06b586a6,0.25,True,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,False,True,False,False,False,True,False,False,False
AI in health - WHO_removed/5-provision-with-general-purpose-foundation-models-lmms/5-2-measures-that-governments-can-introduce-to-address-such-/sent_0026,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/6-deployment-with-general-purpose-foundation-models-lmms/6-1-risks-to-be-addressed-when-deploying-a-health-care-servi/sent_0001,True,spans-passthrough-candidates/sent_0001-c7341ca3,0.46090534979423864,False,0.0,1.0,0.0,0.0,1.0,1.0,0.148,1.0,0.0,False,True,False,False,True,True,False,True,False
AI in health - WHO_removed/6-deployment-with-general-purpose-foundation-models-lmms/6-3-responsibilities-of-deployers/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/6-deployment-with-general-purpose-foundation-models-lmms/6-3-responsibilities-of-deployers/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/7-liability-for-lmms/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
AI in health - WHO_removed/7-liability-for-lmms/sent_0004,True,spans-passthrough-candidates/sent_0004-a50d0b28,0.2777777777777778,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,False,False,False,False,False,True,False,True,False
