k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,EU_AI_2024_removed/article-12/sent_0001,0.6256248118036736,1,0,1.0,0.05
2,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,0.522149600580973,2,0,1.0,0.1
3,EU_AI_2024_removed/article-12/sent_0003,0.5,3,0,1.0,0.15
4,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,0.47606837606837604,4,0,1.0,0.2
5,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,0.4747795414462081,5,0,1.0,0.25
6,EU_AI_2024_removed/article-12/sent_0002,0.4166666666666667,6,0,1.0,0.3
7,EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,0.41007674341007677,7,0,1.0,0.35
8,EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,0.3994708994708995,8,0,1.0,0.4
9,EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,0.39814814814814814,9,0,1.0,0.45
10,EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,0.35535230352303526,10,0,1.0,0.5
11,EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,0.2797385620915033,11,0,1.0,0.55
