span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/appropriate-the-necessary-testing-and-reporting-processes-in/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0001,True,spans-passthrough-candidates/sent_0001-15d40ad9,0.4715219421101774,True,0.286,0.0,0.0,1.0,0.0,1.0,0.529,1.0,0.429,False,False,False,True,False,True,False,True,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0002,True,spans-passthrough-candidates/sent_0002-d4bca7d2,0.35833333333333334,True,0.0,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.125,False,True,False,False,False,True,False,True,False
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0003,True,spans-passthrough-candidates/sent_0003-2fe45e68,0.5155555555555555,True,0.0,1.0,0.0,1.0,0.0,1.0,0.04,1.0,0.6,False,True,False,True,False,True,False,True,True
EU_AI_2024_removed/high-risk-ai-systems-shall-be-tested-for-the-purpose-of-iden/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0001,True,spans-passthrough-candidates/sent_0001-007bcc1e,0.4477466977466978,True,0.25,1.0,0.0,1.0,0.128,1.0,0.152,0.0,0.5,False,True,False,True,False,True,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0002,True,spans-passthrough-candidates/sent_0002-2ce437fb,0.5427350427350428,True,0.0,1.0,0.0,1.0,0.0,1.0,0.385,1.0,0.5,False,True,False,True,False,True,False,True,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0003,True,spans-passthrough-candidates/sent_0003-f105bd17,0.44312169312169314,True,0.429,1.0,0.0,0.0,0.333,1.0,0.476,0.5,0.25,False,True,False,False,False,True,False,False,False
EU_AI_2024_removed/directive-eu-2016-680-all-the-following-conditions-must-be-m/sent_0004,True,spans-passthrough-candidates/sent_0004-797cb2cf,0.39337231968810915,True,0.4,0.0,0.0,0.0,0.474,1.0,0.333,1.0,0.333,False,False,False,False,False,True,False,True,False
EU_AI_2024_removed/article-12/sent_0001,True,spans-passthrough-candidates/sent_0001-d21e4b9d,0.402020202020202,True,0.0,0.0,0.0,1.0,0.8,1.0,0.152,0.0,0.667,False,False,False,True,True,True,False,False,True
EU_AI_2024_removed/article-12/sent_0002,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/article-12/sent_0003,True,spans-passthrough-candidates/sent_0003-8bbd2518,0.3872785829307569,True,0.0,1.0,0.0,1.0,0.0,1.0,0.152,0.0,0.333,False,True,False,True,False,True,False,False,False
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/v-when-appropriate-its-performance-regarding-specific-person/sent_0002,True,spans-passthrough-candidates/sent_0002-39119645,0.5119285952619286,True,0.0,1.0,0.0,1.0,0.222,1.0,0.135,1.0,0.25,False,True,False,True,False,True,False,True,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0001,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0002,True,spans-passthrough-candidates/sent_0002-82054bf6,0.2908496732026144,True,0.0,0.0,0.0,0.0,1.0,1.0,0.118,0.0,0.5,False,False,False,False,True,True,False,False,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0003,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
EU_AI_2024_removed/the-output-of-the-high-risk-ai-system/sent_0004,False,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
