span_id,has_prediction,chosen_rule_id,macro_f1,test_correct,hazard_exact,scope.actor_exact,scope.domain_exact,scope.context_exact,conditions_exact,exceptions_exact,requirements_exact,evidence_exact,evidence_signals_exact,hazard_f1,scope.actor_f1,scope.domain_f1,scope.context_f1,conditions_f1,exceptions_f1,requirements_f1,evidence_f1,evidence_signals_f1
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,True,spans-passthrough-candidates/sent_0001-fc0ecaed,0.43657407407407406,True,False,True,False,False,False,True,False,True,True,0.0,1.0,0.0,0.0,0.062,1.0,0.2,0.667,1.0
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0002,True,spans-passthrough-candidates/sent_0002-8adaa8a5,0.3664021164021164,True,False,True,False,False,False,True,False,True,False,0.143,1.0,0.0,0.0,0.0,1.0,0.238,0.667,0.25
Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0001,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0002,True,spans-passthrough-candidates/sent_0002-a8f0ebe1,0.2751322751322751,True,False,True,False,False,False,True,False,False,False,0.0,1.0,0.0,0.0,0.0,1.0,0.143,0.0,0.333
Microsoft/index/accountability-goals/goal-a2-oversight-of-significant-adverse-impacts/sent_0003,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,True,spans-passthrough-candidates/sent_0001-f21068b9,0.6084656084656084,True,False,True,False,False,True,True,True,True,False,0.143,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.333
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,True,spans-passthrough-candidates/sent_0002-19b5f739,0.5185185185185186,True,False,True,False,True,False,True,True,False,True,0.1,1.0,0.0,1.0,0.0,1.0,0.9,0.0,0.667
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0003,True,spans-passthrough-candidates/sent_0003-77b288f2,0.3462071697365815,True,False,False,False,True,False,True,False,False,True,0.273,0.0,0.0,1.0,0.0,1.0,0.176,0.0,0.667
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0004,False,,0.0,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0005,True,spans-passthrough-candidates/sent_0005-186582b9,0.36508714596949887,True,False,True,False,False,False,True,False,False,True,0.125,1.0,0.0,0.0,0.294,1.0,0.2,0.0,0.667
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0001,True,spans-passthrough-candidates/sent_0001-4164a374,0.41832858499525166,True,False,False,False,False,True,True,False,True,False,0.154,0.0,0.0,0.0,1.0,1.0,0.278,1.0,0.333
Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,True,spans-passthrough-candidates/sent_0002-4fb03bf9,0.48148148148148145,True,False,False,False,True,False,True,False,True,False,0.0,0.0,0.0,1.0,0.5,1.0,0.333,1.0,0.5
