k,span_id,score,tp,fp,precision,recall
0,,1.0,0,0,1.0,0.0
1,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0001,0.7158730158730159,1,0,1.0,0.014084507042253521
2,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0004,0.6974658869395711,2,0,1.0,0.028169014084507043
3,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0001,0.6084656084656084,3,0,1.0,0.04225352112676056
4,Microsoft/index/reliability-safety-goals/goal-rs3-ongoing-monitoring-feedback-and-evaluation/sent_0006,0.5830687830687831,4,0,1.0,0.056338028169014086
5,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0003,0.5740740740740741,5,0,1.0,0.07042253521126761
6,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0001,0.5569800569800569,6,0,1.0,0.08450704225352113
7,Microsoft/index/transparency-goals/goal-t3-disclosure-of-ai-interaction/sent_0002,0.5481481481481482,7,0,1.0,0.09859154929577464
8,Microsoft/index/accountability-goals/goal-a3-fit-for-purpose/sent_0002,0.5185185185185186,8,0,1.0,0.11267605633802817
9,Microsoft/index/transparency-goals/goal-t1-system-intelligibility-for-decision-making/sent_0003,0.5086419753086421,9,0,1.0,0.1267605633802817
10,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0001,0.4947089947089947,10,0,1.0,0.14084507042253522
11,Microsoft/index/accountability-goals/goal-a4-data-governance-and-management/sent_0002,0.48148148148148145,11,0,1.0,0.15492957746478872
12,Microsoft/index/reliability-safety-goals/goal-rs2-failures-and-remediations/sent_0003,0.4695767195767196,12,0,1.0,0.16901408450704225
13,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0003,0.46403133903133903,13,0,1.0,0.18309859154929578
14,Microsoft/index/fairness-goals/goal-f2-allocation-of-resources-and-opportunities/sent_0005,0.4592592592592592,14,0,1.0,0.19718309859154928
15,Microsoft/index/accountability-goals/goal-a5-human-oversight-and-control/sent_0004,0.44223985890652556,15,0,1.0,0.2112676056338028
16,Microsoft/index/accountability-goals/goal-a1-impact-assessment/sent_0001,0.43657407407407406,16,0,1.0,0.22535211267605634
17,Microsoft/index/fairness-goals/goal-f3-minimization-of-stereotyping-demeaning-and-erasing-o/sent_0004,0.4285714285714286,17,0,1.0,0.23943661971830985
18,Microsoft/index/reliability-safety-goals/goal-rs1-reliability-and-safety-guidance/sent_0005,0.4285714285714286,18,0,1.0,0.2535211267605634
